...1,unit_id_depth,latin_name,project,survey,date,site_id,site_habitat,site_latitude,site_longitude,site_substrate,site_depth,transect_id,transect_latitude,transect_longitude,transect_substrate,experimental_unit,unit_id,unit_size,unit_area_2D,unit_area_3D,unit_depth_corrected,total_count,avg_biomass,sd,se,unit_depth,density,biomass_density,loc.cat,round_depth,station,Station,bottom.depth.m,measurement.time,depth.m,conductivity.ms.cm,temp.deg.c,pressure.dbar,par.umol.m.s,fluorometry.chlorophyll,dissolved.o2.ml.l,salinity.psu
13188,2019-07-04_Simmonds 1_3.4542,Pycnopodia helianthoides,Kelp,Macro transects,2019-07-04,Simonds,Macrocystis kelp forest,51.959,-128.26195,"boulder,bedrock",NA,Simmonds 1,51.958925,-128.261735,"sand,bedrock",transects,2019-07-04_Simmonds 1,30m x 2m,60,NA,3.4542,0,0,0,0,NA,0,0,outer,3,MACRO5,MACRO5,5.72350465469195,2019-07-04T11:02:19Z,3.021,37.93449,13.5536,3,159.946,3.6156,6.695,31.6602
13206,2019-07-04_Simmonds 2_3.6424,Pycnopodia helianthoides,Kelp,Macro transects,2019-07-04,Simonds,Macrocystis kelp forest,51.959,-128.26195,"boulder,bedrock",NA,Simmonds 2,51.958989,-128.261509,"sand,bedrock",transects,2019-07-04_Simmonds 2,30m x 2m,60,NA,3.6424,1,71.4692018598524,0,0,4.803399,0.0166666666666667,0.0119115336433087,outer,4,MACRO5,MACRO5,5.72350465469195,2019-07-04T11:02:20Z,3.976,37.8865,13.4928,4,127.289,3.7941,6.7004,31.6656
13224,2019-07-04_Simmonds 3_3.7663,Pycnopodia helianthoides,Kelp,Macro transects,2019-07-04,Simonds,Macrocystis kelp forest,51.959,-128.26195,"boulder,bedrock",NA,Simmonds 3,51.958889,-128.26177,"sand,bedrock",transects,2019-07-04_Simmonds 3,30m x 2m,60,NA,3.7663,1,952.652866103708,0,0,4.927299,0.0166666666666667,0.158775477683951,outer,4,MACRO5,MACRO5,5.72350465469195,2019-07-04T11:02:20Z,3.976,37.8865,13.4928,4,127.289,3.7941,6.7004,31.6656
13242,2019-07-05_Stryker 1_2.9552,Pycnopodia helianthoides,Kelp,Macro transects,2019-07-05,Stryker,Macrocystis kelp forest,52.0835833,-128.36455,"sand,bedrock",NA,Stryker 1,52.083624,-128.364493,boulder,transects,2019-07-05_Stryker 1,30m x 2m,60,NA,2.9552,0,0,0,0,NA,0,0,outer,3,MACRO6,MACRO6,8.90234493288084,2019-07-05T10:21:13Z,2.999,37.08052,12.3477,3,596.301,0.7128,5.6114,31.8673
13260,2019-07-05_Stryker 2_2.7955,Pycnopodia helianthoides,Kelp,Macro transects,2019-07-05,Stryker,Macrocystis kelp forest,52.0835833,-128.36455,"sand,bedrock",NA,Stryker 2,52.083628,-128.36464899999999,boulder,transects,2019-07-05_Stryker 2,30m x 2m,60,NA,2.7955,2,0.785969489233855,0.884049470267672,0.625117375330646,3.249342,0.0333333333333333,1.309949148723e-4,outer,3,MACRO6,MACRO6,8.90234493288084,2019-07-05T10:21:13Z,2.999,37.08052,12.3477,3,596.301,0.7128,5.6114,31.8673
13278,2019-07-05_Stryker 3_3.2555,Pycnopodia helianthoides,Kelp,Macro transects,2019-07-05,Stryker,Macrocystis kelp forest,52.0835833,-128.36455,"sand,bedrock",NA,Stryker 3,52.08379,-128.364525,boulder,transects,2019-07-05_Stryker 3,30m x 2m,60,NA,3.2555,0,0,0,0,NA,0,0,outer,3,MACRO6,MACRO6,8.90234493288084,2019-07-05T10:21:13Z,2.999,37.08052,12.3477,3,596.301,0.7128,5.6114,31.8673
13296,2019-07-10_North 1_2.8054,Pycnopodia helianthoides,Kelp,Nereo transects,2019-07-10,Northbeach,Nereocystis kelp forest,51.6670333333333,-128.13995,boulder,NA,North 1,51.667143,-128.140326,boulder,transects,2019-07-10_North 1,30m x 2m,60,NA,2.8054,3,960.942703573119,186.972711646157,107.948745400023,4.666346,0.05,0.160157117262186,outer,3,KELP09,KELP09,5.88785058734614,2019-07-10T15:20:26Z,2.952,36.97744,12.3395,3,332.343,1.9627,6.1723,31.7759
13314,2019-07-10_North 2_2.9654,Pycnopodia helianthoides,Kelp,Nereo transects,2019-07-10,Northbeach,Nereocystis kelp forest,51.6670333333333,-128.13995,boulder,NA,North 2,51.667146,-128.140399,boulder,transects,2019-07-10_North 2,30m x 2m,60,NA,2.9654,2,2756.22117190523,2268.82100680278,1604.29871920873,4.826346,0.0333333333333333,0.459370195317539,outer,3,KELP09,KELP09,5.88785058734614,2019-07-10T15:20:26Z,2.952,36.97744,12.3395,3,332.343,1.9627,6.1723,31.7759
13332,2019-07-10_North 3_3.2854,Pycnopodia helianthoides,Kelp,Nereo transects,2019-07-10,Northbeach,Nereocystis kelp forest,51.6670333333333,-128.13995,boulder,NA,North 3,51.667268,-128.140349,boulder,transects,2019-07-10_North 3,30m x 2m,60,NA,3.2854,1,1377.82966576409,0,0,5.146346,0.0166666666666667,0.229638277627349,outer,3,KELP09,KELP09,5.88785058734614,2019-07-10T15:20:26Z,2.952,36.97744,12.3395,3,332.343,1.9627,6.1723,31.7759
13404,2019-07-11_Manley 1_2.4747,Pycnopodia helianthoides,Kelp,Nereo transects,2019-07-11,Manley,Nereocystis kelp forest,51.80123044,-128.1999243,boulder,NA,Manley 1,51.801117,-128.200109,bedrock,transects,2019-07-11_Manley 1,30m x 2m,60,NA,2.4747,0,0,0,0,NA,0,0,outer,2,KELP10,KELP10,5.80784694092206,2019-07-11T13:09:43Z,1.999,37.92731,14.5673,2,346.773,1.7672,6.7322,30.832
13422,2019-07-11_Manley 2_2.6115,Pycnopodia helianthoides,Kelp,Nereo transects,2019-07-11,Manley,Nereocystis kelp forest,51.80123044,-128.1999243,boulder,NA,Manley 2,51.801148,-128.200092,boulder,transects,2019-07-11_Manley 2,30m x 2m,60,NA,2.6115,0,0,0,0,NA,0,0,outer,3,KELP10,KELP10,5.80784694092206,2019-07-11T13:09:44Z,2.961,37.85148,14.2494,3,279.087,1.9383,6.6068,31.0167
13440,2019-07-11_Manley 3_2.5472,Pycnopodia helianthoides,Kelp,Nereo transects,2019-07-11,Manley,Nereocystis kelp forest,51.80123044,-128.1999243,boulder,NA,Manley 3,51.801093,-128.199841,boulder,transects,2019-07-11_Manley 3,30m x 2m,60,NA,2.5472,0,0,0,0,NA,0,0,outer,3,KELP10,KELP10,5.80784694092206,2019-07-11T13:09:44Z,2.961,37.85148,14.2494,3,279.087,1.9383,6.6068,31.0167
13674,2019-07-13_Golden 1_2.5477,Pycnopodia helianthoides,Kelp,Macro transects,2019-07-13,Golden,Macrocystis kelp forest,51.90307,-128.213,"sand,bedrock",NA,Golden 1,51.903066,-128.213045,sand,transects,2019-07-13_Golden 1,30m x 2m,60,NA,2.5477,0,0,0,0,NA,0,0,outer,3,MACRO4,MACRO4,9.32813382423169,2019-07-13T12:10:29Z,2.964,38.81504,15.0403,3,653.007,2.1441,6.8887,31.2542
13692,2019-07-13_Golden 2_3.1477,Pycnopodia helianthoides,Kelp,Macro transects,2019-07-13,Golden,Macrocystis kelp forest,51.90307,-128.213,"sand,bedrock",NA,Golden 2,51.903126,-128.212971,bedrock,transects,2019-07-13_Golden 2,30m x 2m,60,NA,3.1477,1,24.9057598587856,0,0,6.729461,0.0166666666666667,0.00415095997646427,outer,3,MACRO4,MACRO4,9.32813382423169,2019-07-13T12:10:29Z,2.964,38.81504,15.0403,3,653.007,2.1441,6.8887,31.2542
13710,2019-07-13_Golden 3_3.4077,Pycnopodia helianthoides,Kelp,Macro transects,2019-07-13,Golden,Macrocystis kelp forest,51.90307,-128.213,"sand,bedrock",NA,Golden 3,51.902928,-128.212875,bedrock,transects,2019-07-13_Golden 3,30m x 2m,60,NA,3.4077,0,0,0,0,NA,0,0,outer,3,MACRO4,MACRO4,9.32813382423169,2019-07-13T12:10:29Z,2.964,38.81504,15.0403,3,653.007,2.1441,6.8887,31.2542
13728,2019-07-13_Triquetta 1_3.857,Pycnopodia helianthoides,Kelp,Nereo transects,2019-07-13,Triquetta,Nereocystis kelp forest,51.79739004,-128.23840018,cobble,NA,Triquetta 1,51.797498,-128.238573,cobble,transects,2019-07-13_Triquetta 1,30m x 2m,60,NA,3.857,0,0,0,0,NA,0,0,outer,4,KELP11,KELP11,7.55215644073064,2019-07-13T09:50:33Z,3.894,37.07678,15.2768,4,385.294,1.7004,6.6217,29.5225
13746,2019-07-13_Triquetta 2_3.597,Pycnopodia helianthoides,Kelp,Nereo transects,2019-07-13,Triquetta,Nereocystis kelp forest,51.79739004,-128.23840018,cobble,NA,Triquetta 2,51.797419,-128.23861,cobble,transects,2019-07-13_Triquetta 2,30m x 2m,60,NA,3.597,0,0,0,0,NA,0,0,outer,4,KELP11,KELP11,7.55215644073064,2019-07-13T09:50:33Z,3.894,37.07678,15.2768,4,385.294,1.7004,6.6217,29.5225
13764,2019-07-13_Triquetta 3_3.3267,Pycnopodia helianthoides,Kelp,Nereo transects,2019-07-13,Triquetta,Nereocystis kelp forest,51.79739004,-128.23840018,cobble,NA,Triquetta 3,51.797367,-128.238359,cobble,transects,2019-07-13_Triquetta 3,30m x 2m,60,NA,3.3267,0,0,0,0,NA,0,0,outer,3,KELP11,KELP11,7.55215644073064,2019-07-13T09:50:32Z,2.956,36.68386,15.3067,3,447.801,1.3582,6.7261,29.1533
13782,2019-08-05_Pruth Bay I4_-0.28,Pycnopodia helianthoides,Seagrass,Seagrass inverts,2019-08-05,Pruth Bay,seagrass meadow,51.64532132,-128.1192523,sand,-0.5,Pruth Bay I4,51.6459294,-128.1193665,sand,transects,2019-08-05_Pruth Bay I4,30m x 2m,60,NA,-0.28,3,410.756617821307,205.290461484015,118.524503199859,1.147536,0.05,0.0684594363035511,outer,1,SEA15,SEA15,5.8447066218343,2019-08-05T09:51:35Z,0.994,33.70446,14.4922,1,150.427,1.0511,5.668,27.1388
