unit_id_depth,latin_name,project,survey,date,site_id,site_habitat,site_latitude,site_longitude,site_substrate,site_depth,transect_id,transect_latitude,transect_longitude,transect_substrate,experimental_unit,unit_id,unit_size,unit_area_2D,unit_area_3D,unit_depth,unit_depth_corrected,total_count,avg_biomass,sd,se,density,biomass_density,loc.cat,round_depth,Station,bottom.depth.m,measurement.time,depth.m,conductivity.ms.cm,conductivity.flag,temp.deg.c,temp.flag,pressure.dbar,pressure.flag,par.umol.m.s,par.flag,fluorometry.chlorophyll,fluorometry.chlorophyll.flag,dissolved.o2.ml.l,dissolved.o2.ml.l.flag,salinity.psu,salinity.flag,ndate,nyear,nmonth,doy
2019-07-04_Simmonds 1_3.4542,Pycnopodia helianthoides,Kelp,Macro transects,2019-07-04,Simonds,Macrocystis kelp forest,51.959,-128.26195,"boulder,bedrock",NA,Simmonds 1,51.958925,-128.261735,"sand,bedrock",transects,2019-07-04_Simmonds 1,30m x 2m,60,NA,NA,3.4542,0,0,0,0,0,0,outer,3,MACRO5,5.72350465469195,2019-07-04 11:02:19,3.021,37.93449,NA,13.5536,NA,3,NA,159.946,NA,3.6156,NA,6.695,NA,31.6602,NA,18081,2019,7,185
2019-07-04_Simmonds 2_3.6424,Pycnopodia helianthoides,Kelp,Macro transects,2019-07-04,Simonds,Macrocystis kelp forest,51.959,-128.26195,"boulder,bedrock",NA,Simmonds 2,51.958989,-128.261509,"sand,bedrock",transects,2019-07-04_Simmonds 2,30m x 2m,60,NA,4.803399,3.6424,1,71.4692018598524,0,0,0.0166666666666667,0.0119115336433087,outer,4,MACRO5,5.72350465469195,2019-07-04 11:02:20,3.976,37.8865,NA,13.4928,NA,4,NA,127.289,NA,3.7941,NA,6.7004,NA,31.6656,NA,18081,2019,7,185
2019-07-04_Simmonds 3_3.7663,Pycnopodia helianthoides,Kelp,Macro transects,2019-07-04,Simonds,Macrocystis kelp forest,51.959,-128.26195,"boulder,bedrock",NA,Simmonds 3,51.958889,-128.26177,"sand,bedrock",transects,2019-07-04_Simmonds 3,30m x 2m,60,NA,4.927299,3.7663,1,952.652866103708,0,0,0.0166666666666667,0.158775477683951,outer,4,MACRO5,5.72350465469195,2019-07-04 11:02:20,3.976,37.8865,NA,13.4928,NA,4,NA,127.289,NA,3.7941,NA,6.7004,NA,31.6656,NA,18081,2019,7,185
2019-07-05_Stryker 1_2.9552,Pycnopodia helianthoides,Kelp,Macro transects,2019-07-05,Stryker,Macrocystis kelp forest,52.0835833,-128.36455,"sand,bedrock",NA,Stryker 1,52.083624,-128.364493,boulder,transects,2019-07-05_Stryker 1,30m x 2m,60,NA,NA,2.9552,0,0,0,0,0,0,outer,3,MACRO6,8.90234493288084,2019-07-05 10:21:13,2.999,37.08052,NA,12.3477,NA,3,NA,596.301,NA,0.7128,NA,5.6114,NA,31.8673,NA,18082,2019,7,186
2019-07-05_Stryker 2_2.7955,Pycnopodia helianthoides,Kelp,Macro transects,2019-07-05,Stryker,Macrocystis kelp forest,52.0835833,-128.36455,"sand,bedrock",NA,Stryker 2,52.083628,-128.364649,boulder,transects,2019-07-05_Stryker 2,30m x 2m,60,NA,3.249342,2.7955,2,0.785969489233855,0.884049470267672,0.625117375330646,0.0333333333333333,0.0001309949148723,outer,3,MACRO6,8.90234493288084,2019-07-05 10:21:13,2.999,37.08052,NA,12.3477,NA,3,NA,596.301,NA,0.7128,NA,5.6114,NA,31.8673,NA,18082,2019,7,186
2019-07-05_Stryker 3_3.2555,Pycnopodia helianthoides,Kelp,Macro transects,2019-07-05,Stryker,Macrocystis kelp forest,52.0835833,-128.36455,"sand,bedrock",NA,Stryker 3,52.08379,-128.364525,boulder,transects,2019-07-05_Stryker 3,30m x 2m,60,NA,NA,3.2555,0,0,0,0,0,0,outer,3,MACRO6,8.90234493288084,2019-07-05 10:21:13,2.999,37.08052,NA,12.3477,NA,3,NA,596.301,NA,0.7128,NA,5.6114,NA,31.8673,NA,18082,2019,7,186
2019-07-10_North 1_2.8054,Pycnopodia helianthoides,Kelp,Nereo transects,2019-07-10,Northbeach,Nereocystis kelp forest,51.6670333333333,-128.13995,boulder,NA,North 1,51.667143,-128.140326,boulder,transects,2019-07-10_North 1,30m x 2m,60,NA,4.666346,2.8054,3,960.942703573119,186.972711646157,107.948745400023,0.05,0.160157117262186,outer,3,KELP09,5.88785058734614,2019-07-10 15:20:26,2.952,36.97744,NA,12.3395,NA,3,NA,332.343,NA,1.9627,NA,6.1723,NA,31.7759,NA,18087,2019,7,191
2019-07-10_North 2_2.9654,Pycnopodia helianthoides,Kelp,Nereo transects,2019-07-10,Northbeach,Nereocystis kelp forest,51.6670333333333,-128.13995,boulder,NA,North 2,51.667146,-128.140399,boulder,transects,2019-07-10_North 2,30m x 2m,60,NA,4.826346,2.9654,2,2756.22117190523,2268.82100680278,1604.29871920873,0.0333333333333333,0.459370195317539,outer,3,KELP09,5.88785058734614,2019-07-10 15:20:26,2.952,36.97744,NA,12.3395,NA,3,NA,332.343,NA,1.9627,NA,6.1723,NA,31.7759,NA,18087,2019,7,191
2019-07-10_North 3_3.2854,Pycnopodia helianthoides,Kelp,Nereo transects,2019-07-10,Northbeach,Nereocystis kelp forest,51.6670333333333,-128.13995,boulder,NA,North 3,51.667268,-128.140349,boulder,transects,2019-07-10_North 3,30m x 2m,60,NA,5.146346,3.2854,1,1377.82966576409,0,0,0.0166666666666667,0.229638277627349,outer,3,KELP09,5.88785058734614,2019-07-10 15:20:26,2.952,36.97744,NA,12.3395,NA,3,NA,332.343,NA,1.9627,NA,6.1723,NA,31.7759,NA,18087,2019,7,191
2019-07-11_Manley 1_2.4747,Pycnopodia helianthoides,Kelp,Nereo transects,2019-07-11,Manley,Nereocystis kelp forest,51.80123044,-128.1999243,boulder,NA,Manley 1,51.801117,-128.200109,bedrock,transects,2019-07-11_Manley 1,30m x 2m,60,NA,NA,2.4747,0,0,0,0,0,0,outer,2,KELP10,5.80784694092206,2019-07-11 13:09:43,1.999,37.92731,NA,14.5673,NA,2,NA,346.773,NA,1.7672,NA,6.7322,NA,30.832,NA,18088,2019,7,192
